"TreatmentID","TreatmentName","Description","Procedures","Duration","SideEffects","Contraindications"
"12","การประคบร้อนและใช้ยาปฏิชีวนะทาตาเพื่อบรรเทาอาการและลดการติดเชื้อ","รักษาโดยการบรรเทาอาการอักเสบและติดเชื้อ ใช้วิธีประคบอุ่นและทายาปฏิชีวนะช่วยลดการติดเชื้อ","ใช้ผ้าชุบน้ำอุ่นประคบบริเวณกุ้งยิงวันละ 3-4 ครั้ง ครั้งละ 10-15 นาที

ทายา Erythromycin Eye Ointment บริเวณกุ้งยิงตามแพทย์สั่ง

หลีกเลี่ยงการขยี้ตาหรือสัมผัสตาด้วยมือสกปรก

รักษาความสะอาดมือและใบหน้า

หากตุ่มไม่ยุบหรือมีอาการรุนแรง ควรพบแพทย์เพื่อพิจารณาผ่าตัดระบายหนอง","ประมาณ 5-7 วัน ขึ้นอยู่กับความรุนแรง","ตาแสบหรือระคายเคืองเล็กน้อยจากการใช้ยา  บางรายอาจมีการติดเชื้อซ้ำหรือกุ้งยิงเรื้อรัง","หลีกเลี่ยงการใช้ยาทาที่มีส่วนผสมที่แพ้  ไม่ควรบีบหรือกดตุ่มกุ้งยิงเอง เพราะเสี่ยงติดเชื้อเพิ่ม"
"13","รับประทานยา","การใช้ยา Acyclovir เพื่อยับยั้งการเพิ่มจำนวนของไวรัสและลดอาการเจ็บปวด พร้อมดูแลรักษาความสะอาดบริเวณแผล","รับประทานยา Acyclovir ตามขนาดและระยะเวลาที่แพทย์กำหนด

ทายาเฉพาะที่บริเวณแผลถ้าจำเป็น

รักษาความสะอาดและหลีกเลี่ยงการสัมผัสแผล

หากมีอาการแทรกซ้อนหรืออาการไม่ดีขึ้น ให้รีบปรึกษาแพทย์","ประมาณ 7-10 วัน ขึ้นกับความรุนแรงของโรค","คลื่นไส้ ปวดศีรษะ  แผลหายช้าในบางราย  อาการแพ้ยาในบางราย","ไม่ควรหยุดยาก่อนครบกำหนดโดยไม่ปรึกษาแพทย์  ผู้ที่แพ้ยา Acyclovir ห้ามใช้"
"14","รับประทานยา","ใช้ยาแก้แพ้ชนิดไม่ง่วงเพื่อลดอาการแพ้ในจมูกและตา พร้อมควบคุมสภาพแวดล้อมเพื่อลดสารก่อภูมิแพ้","รับประทานยา Loratadine วันละ 1 ครั้งตามคำแนะนำ

ใช้น้ำเกลือล้างจมูกบ่อย ๆ

หลีกเลี่ยงสิ่งที่กระตุ้นอาการแพ้

หากอาการรุนแรงหรือเรื้อรัง ควรพบแพทย์เพื่อรับการรักษาเพิ่มเติม","ตามอาการ อาจใช้ได้หลายสัปดาห์ถึงหลายเดือน ","ง่วงนอนเล็กน้อย  ปากแห้ง  ปวดศีรษะบางราย","ห้ามใช้ยานี้ในผู้ที่แพ้ยา  หลีกเลี่ยงการใช้ร่วมกับยาอื่นโดยไม่ปรึกษาแพทย์"
"15","รับประทานยา","รักษาตามอาการเพื่อบรรเทาอาการปวดและไข้ ยังไม่มีการรักษาเฉพาะเจาะจงสำหรับไวรัสคางทูม","รับประทานยา Paracetamol เพื่อบรรเทาไข้และปวด

ประคบเย็นบริเวณต่อมน้ำลายที่บวม

ดื่มน้ำมาก ๆ และพักผ่อนให้เพียงพอ

แยกผู้ป่วยเพื่อป้องกันการแพร่เชื้อ","อาการมักดีขึ้นภายใน 7-10 วัน","ผลข้างเคียงจากยา Paracetamol ตามที่กล่าวข้างต้น  อาการบวมอาจใช้เวลานานกว่าจะลดลง","หลีกเลี่ยงการใช้ยาเกินขนาดหรือใช้ยาเกินระยะเวลาที่กำหนด  หลีกเลี่ยงการสัมผัสใกล้ชิดผู้อื่นจนกว่าจะหายสนิท"
"16","รับประทานยา","การรักษาเน้นที่การลดอาการอักเสบ บรรเทาอาการเจ็บคอ และฆ่าเชื้อแบคทีเรีย","ให้ผู้ป่วยพักผ่อน ดื่มน้ำมาก ๆ

กลั้วคอด้วยน้ำเกลืออุ่น

ใช้ยาแก้ปวด เช่น Paracetamol เพื่อลดไข้

หากพบการติดเชื้อแบคทีเรีย ใช้ยาปฏิชีวนะตามแพทย์สั่ง (เช่น Amoxicillin)

ในรายที่เป็นบ่อยและรุนแรง แพทย์อาจพิจารณาผ่าตัดต่อมทอนซิลออก","อาการมักดีขึ้นภายใน 7-10 วัน  หากใช้ยาปฏิชีวนะ ให้","อาการแพ้ยา  ท้องเสียจากยาปฏิชีวนะ  การดื้อยา หากไม่รับประทานยาจนครบคอร์ส","ห้ามใช้ยาปฏิชีวนะโดยไม่มีใบสั่งแพทย์  หลีกเลี่ยงการใช้ยาในผู้แพ้ยา  ห้ามหยุดยาเองกลางคัน"
"17","การรักษาโดยใช้ยาและดูแลตนเองเพื่อลดการอักเสบและบรรเทาอาการ","การรักษามีเป้าหมายเพื่อระบายของเหลวในโพรงไซนัส ลดอักเสบ และควบคุมการติดเชื้อ","ดูแลตนเอง

ดื่มน้ำมาก ๆ

สูดไอน้ำอุ่นเพื่อลดการอุดตัน

ประคบร้อนบริเวณใบหน้า

ใช้ยา

สเปรย์พ่นจมูกชนิดลดการอักเสบ เช่น corticosteroids

ยาลดบวมจมูก

ยาปฏิชีวนะ (หากติดเชื้อแบคทีเรีย) เช่น Amoxicillin/Clavulanic

ยาแก้ปวด เช่น Paracetamol หรือ Ibuprofen

ในรายเรื้อรัง

อาจต้องใช้การล้างโพรงจมูกด้วยน้ำเกลือ

พิจารณาการผ่าตัดเปิดโพรงไซนัส (Functional Endoscopic Sinus Surgery: FESS)","แบบเฉียบพลัน: 7-14 วัน  แบบเรื้อรัง: อาจใช้เวลาหลา","ท้องเสียจากยาปฏิชีวนะ  ระคายเคืองจมูกจากสเปรย์  ภาวะดื้อยา หากใช้ยาผิดวิธี","ห้ามใช้ยาพ่นจมูกเกินระยะเวลาที่แพทย์แนะนำ  หลีกเลี่ยงการใช้ยาปฏิชีวนะหากไม่จำเป็น  ห้ามผ่าตัดหากยังสามารถควบคุมอาการได้ด้วยยา"
"18","น้ำยาบ้วนปาก","การรักษามุ่งเน้นที่การกำจัดคราบพลัคและหินปูน และลดแบคทีเรียในช่องปาก","ขูดหินปูน กับทันตแพทย์

ใช้ยาบ้วนปาก Chlorhexidine เพื่อลดแบคทีเรีย

ดูแลช่องปากที่บ้าน

แปรงฟันอย่างสม่ำเสมอ

ใช้ไหมขัดฟัน

ติดตามอาการ กับทันตแพทย์เป็นระยะ

กรณีเรื้อรัง อาจพิจารณาการรักษาโรคปริทันต์ขั้นสูง","อาการมักดีขึ้นภายใน 7-14 วัน หากดูแลอย่างเหมาะสม  ","เจ็บขณะแปรงฟันหรือตอนขูดหินปูน  ระคายเคืองจากน้ำยาบ้วนปาก  สีฟันเปลี่ยนจากน้ำยาบ้วนปาก","ห้ามใช้ Chlorhexidine ติดต่อกันเกิน 2 สัปดาห์ โดยไม่อยู่ในความดูแลของแพทย์  หลีกเลี่ยงการแปรงฟันรุนแรงหรือใช้ยาสีฟันมีฤทธิ์กัดกร่อนสูง"
"19","รับประทานยา","การรักษาขึ้นอยู่กับชนิดของคอพอก ได้แก่ การใช้ยา การผ่าตัด หรือการรักษาด้วยสารกัมมันตรังสี","ตรวจวัดฮอร์โมนไทรอยด์ (TSH, FT3, FT4)

ทำอัลตราซาวด์ต่อมไทรอยด์

หากเป็นคอพอกจากไทรอยด์เป็นพิษ → ให้ยา Methimazole

หากเป็นคอพอกโตมากหรือก้อนน่าสงสัย → อาจพิจารณาผ่าตัด

คอพอกจากไอโอดีนต่ำ → ให้ไอโอดีนเสริม

ติดตามอาการทุก 3-6 เดือน","รักษาด้วยยาอาจใช้เวลาหลายเดือนถึงปี  หากผ่าตัดหรือ","ผลข้างเคียงจากยา Methimazole ดังที่กล่าว  การผ่าตัดอาจทำให้เสียงแหบ หรือภาวะแคลเซียมต่ำ  รังสีไอโอดีนอาจทำให้ไทรอยด์ทำงานต่ำในระยะยาว","หญิงตั้งครรภ์ควรหลีกเลี่ยงการใช้ Methimazole ในช่วงไตรมาสแรก  ห้ามใช้สารกัมมันตรังสีในหญิงตั้งครรภ์และให้นมบุตร"
"20","การปรับพฤติกรรม + การใช้ยา","รักษาด้วยการปรับพฤติกรรมร่วมกับการใช้ยาเพิ่มความดันโลหิตในกรณีที่อาการรุนแรงหรือไม่ตอบสนองต่อการดูแลทั่วไป","ตรวจวัดความดันโลหิตในท่าต่างๆ (นอน/นั่ง/ยืน)

ดื่มน้ำมากๆ เพิ่มปริมาณเกลือในอาหาร (ตามแพทย์แนะนำ)

หลีกเลี่ยงการยืนหรือนั่งนานๆ

ใช้ยา Midodrine หากแพทย์เห็นว่าจำเป็น

ติดตามอาการและความดันโลหิตอย่างสม่ำเสมอ","อาการเฉียบพลันอาจดีขึ้นใน 1-2 วัน  ในกรณีเรื้อรัง ","ปัสสาวะบ่อย  ปวดศีรษะ  ความดันสูงเกินในบางช่วง","ผู้ที่มีความดันโลหิตปกติหรือสูง  ห้ามใช้ยาโดยไม่ปรึกษาแพทย์ เพราะอาจเกิดภาวะความดันสูงเกินได้"
"21","การดูแลตนเอง + ใช้น้ำตาเทียม","ไม่จำเป็นต้องรักษาเป็นพิเศษ ส่วนใหญ่หายได้เองใน 1-2 สัปดาห์","พักผ่อนให้เพียงพอ

หลีกเลี่ยงการขยี้ตาหรือกระทบกระเทือนตา

หยอดน้ำตาเทียมเพื่อบรรเทาอาการแสบหรือเคือง

ตรวจความดันโลหิต หากเป็นบ่อย

พบแพทย์หากเลือดกระจายเป็นบริเวณกว้างหรือไม่ดีขึ้นใน 2 สัปดาห์","7-14 วัน โดยไม่ต้องใช้ยาเฉพาะ","โดยทั่วไปไม่มี แต่หากใช้ยาหยอดตามากเกิน อาจทำให้ระคายเคืองตาได้","ห้ามใช้ยาหยอดตาที่มีสเตียรอยด์โดยไม่ปรึกษาแพทย์  ห้ามขยี้ตาแรงๆ หรือใช้ยาที่ไม่เหมาะสม"
"22","การชดเชยน้ำและเกลือแร่ + การใช้ยา","รักษาโดยลดการถ่ายเหลว เพิ่มการดูดซึมน้ำกลับเข้าสู่ร่างกาย และทดแทนน้ำ-เกลือแร่ที่สูญเสีย","ดื่ม ORS (สารละลายน้ำตาลเกลือแร่) บ่อย ๆ

รับประทานยา Loperamide หากไม่พบอาการติดเชื้อรุนแรง

หลีกเลี่ยงอาหารรสจัด อาหารมัน หรือย่อยยาก

รับประทานอาหารอ่อน ย่อยง่าย เช่น โจ๊ก กล้วย

หากมีอาการรุนแรงหรือถ่ายเป็นเลือด ควรพบแพทย์","1–3 วันสำหรับอาการเบา 5–7 วันสำหรับอาการติดเชื้อที","ท้องผูก  แน่นท้อง  ปากแห้งจากการขาดน้ำ หากไม่ดื่มน้ำเพียงพอ","ห้ามใช้ยา Loperamide หากสงสัยว่ามีเชื้อโรค เช่น ถ่ายเป็นมูกเลือด  ห้ามดื่มน้ำเย็นจัด หรือของหมักดองในช่วงฟื้นตัว"
"23","รับประทานยา","รักษาที่ต้นเหตุโดยใช้ยาปฏิชีวนะฆ่าเชื้อ ควบคู่กับการให้เกลือแร่ทดแทนของเหลวในร่างกาย และการรับประทานอาหารอ่อน","ดื่ม ORS ทุกครั้งหลังถ่าย

รับประทานยา Metronidazole ตามแพทย์สั่ง

พักผ่อนให้เพียงพอ

รับประทานอาหารอ่อน ย่อยง่าย งดอาหารรสจัด

หลีกเลี่ยงการใช้ยาหยุดถ่ายในช่วงแรก เพื่อขับเชื้อออก","5–7 วัน หากรักษาด้วยยาปฏิชีวนะอย่างถูกต้อง","คลื่นไส้ มึนหัว  ปากแห้ง  อ่อนเพลีย  ปัสสาวะเปลี่ยนสี","ห้ามดื่มแอลกอฮอล์ร่วมกับการใช้ Metronidazole  ห้ามหยุดยาก่อนกำหนดแม้อาการจะดีขึ้น  ผู้มีโรคตับหรือโรคไตควรปรึกษาแพทย์ก่อนใช้"
"24","ประเมินสาเหตุ + แก้ไขตามสาเหตุ","รักษาตามสาเหตุ เช่น ถ้าเกิดจากความเครียดให้ปรับพฤติกรรม ถ้าเกิดจากหัวใจเต้นผิดจังหวะอาจให้ยาควบคุมจังหวะหัวใจ หรือส่งต่อแพทย์เฉพาะทางหัวใจ","ซักประวัติและตรวจร่างกาย

ตรวจคลื่นไฟฟ้าหัวใจ (EKG)

หากจำเป็นอาจทำ Echo หรือใส่ Holter Monitor

ให้ยา Propranolol หากหัวใจเต้นเร็ว

ปรับพฤติกรรม เช่น ลดคาเฟอีน นอนพักให้พอ

ติดตามอาการ","หากเกิดจากความเครียดหรือชั่วคราว อาการจะดีขึ้นภายใ","ความดันต่ำ  หัวใจเต้นช้า  เหนื่อยง่าย","ผู้ที่แพ้ยากลุ่ม Beta-blocker  ผู้ที่มีภาวะหัวใจล้มเหลวหรือความดันต่ำรุนแรง  ผู้ป่วยโรคหอบหืดขั้นรุนแรง"
"25","รับประทานยา","รักษาโดยการให้ยาฆ่าพยาธิ เพื่อทำให้พยาธิตายและถูกขับออกจากลำไส้","วินิจฉัยจากประวัติการกินอาหารและตรวจอุจจาระ

สั่งยาฆ่าพยาธิ เช่น Niclosamide หรือ Praziquantel

ให้คำแนะนำเรื่องการรักษาความสะอาด

ติดตามผลโดยการตรวจอุจจาระอีกครั้งหลังรักษา","ยาฆ่าพยาธิมักใช้ ครั้งเดียว หรือในบางรายอาจต้องกิน","อาการจากการตายของพยาธิอาจทำให้ท้องเสีย  คลื่นไส้หรืออาเจียนเล็กน้อย","หญิงตั้งครรภ์ในไตรมาสแรก  เด็กเล็กอายุต่ำกว่า 2 ปีควรได้รับการดูแลพิเศษจากแพทย์"
"26","รับประทานยา","ให้ยาฆ่าพยาธิเพื่อกำจัดพยาธิและไข่ในลำไส้ พร้อมรักษาความสะอาดเพื่อป้องกันการติดเชื้อซ้ำ","รับประทานยา Mebendazole ครั้งแรก 1 เม็ด (100 mg)

รับประทานซ้ำอีกครั้งหลัง 2 สัปดาห์ เพื่อกำจัดไข่พยาธิที่อาจฟักออกมาใหม่

รักษาความสะอาดมือและของใช้ส่วนตัว

ซักผ้าปูที่นอนและชุดชั้นในในน้ำร้อน","ทานยาสองครั้ง ห่างกัน 2 สัปดาห์  การรักษาจะเห็นผลภ","คลื่นไส้  ปวดท้อง  อาการแพ้ยาในบางราย","หญิงตั้งครรภ์ควรปรึกษาแพทย์ก่อนใช้ยา  เด็กเล็กควรใช้ยาภายใต้การดูแลของแพทย์"
"27","การใช้ยาปฏิชีวนะฆ่าเชื้อแบคทีเรีย","ใช้ยาปฏิชีวนะกำจัดเชื้อแบคทีเรีย ร่วมกับการดูแลสุขอนามัยที่ดีเพื่อป้องกันการติดเชื้อซ้ำ","รับประทาน Nitrofurantoin ตามแพทย์สั่ง โดยปกติ 100 mg วันละ 2-4 ครั้ง

ดื่มน้ำมาก ๆ เพื่อช่วยล้างทางเดินปัสสาวะ

หลีกเลี่ยงการกลั้นปัสสาวะ

รักษาความสะอาดบริเวณอวัยวะเพศ

หากอาการไม่ดีขึ้นหรือมีไข้สูง ควรไปพบแพทย์","ปกติ 5-7 วัน ขึ้นกับความรุนแรงของโรค","คลื่นไส้  ปวดศีรษะ  ปวดท้อง  อาการแพ้ยาในบางราย","หญิงตั้งครรภ์ควรปรึกษาแพทย์ก่อนใช้ยา  ผู้ที่มีโรคไตควรได้รับคำแนะนำจากแพทย์"
"28","รับประทานยา","ใช้ยาปฏิชีวนะรักษาโรคติดเชื้อแบคทีเรียในโรคติดต่อทางเพศสัมพันธ์ พร้อมดูแลอาการและป้องกันการแพร่เชื้อ","รับประทาน Azithromycin ครั้งเดียว 1,000 mg หรือ 500 mg ตามคำแนะนำแพทย์

หลีกเลี่ยงการมีเพศสัมพันธ์จนกว่าจะรักษาหาย

ให้คู่รักตรวจและรักษาพร้อมกันเพื่อลดการติดซ้ำ

ปฏิบัติตามคำแนะนำของแพทย์อย่างเคร่งครัด","ปกติ 1-7 วัน ขึ้นกับชนิดของโรคและการรักษา","คลื่นไส้  ปวดท้อง  ผื่นแพ้  ในบางรายอาจมีอาการรุนแรงของแพ้ยา","ไม่ควรใช้ยาเองโดยไม่ได้รับคำแนะนำจากแพทย์  หลีกเลี่ยงการมีเพศสัมพันธ์ก่อนรักษาหายขาด"
"29","รับประทานยา","รักษาด้วยยาเพื่อลดกรดยูริก ลดการอักเสบ และบรรเทาอาการปวด","ใช้ยาแก้ปวดและลดการอักเสบ เช่น NSAIDs หรือคอร์ติโคสเตียรอยด์

รับประทาน Allopurinol เพื่อควบคุมระดับกรดยูริกตามแพทย์สั่ง

ปรับพฤติกรรม เช่น ควบคุมอาหาร ดื่มน้ำมาก ๆ

ตรวจติดตามระดับกรดยูริกในเลือดอย่างสม่ำเสมอ","รักษาต่อเนื่องเป็นระยะเวลานานเพื่อป้องกันการกำเริบ","ปวดท้อง  ผื่นแพ้  ปัญหาไตหรือตับในบางราย","หลีกเลี่ยงการใช้ยาตามคำแนะนำแพทย์เท่านั้น  ไม่ควรหยุดยากะทันหันหากไม่ได้รับคำแนะนำจากแพทย์"
